# This is the run log of LabScaleImpacts
# Experiment type: HOLSAPPLE1 (1)
# Time step used = 0.0002
# Top of regolith surface = 0.136654
# Impactor launch speed = 3.7
# Columns are (values in code units, d is penetration depth):
# [t]    [v_y]    [d]    [x]    [y]    [z]

0.000200    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000400    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000600    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.000800    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.001000    +0.000000    +0.042900    +0.000000    +0.193854    +0.000000
0.001200    -3.700000    +0.042900    +0.000000    +0.193854    +0.000000
0.001400    -3.701953    +0.042160    +0.000000    +0.193114    +0.000000
0.001600    -3.703905    +0.041419    +0.000000    +0.192373    +0.000000
0.001800    -3.705858    +0.040678    +0.000000    +0.191632    +0.000000
0.002000    -3.707810    +0.039936    +0.000000    +0.190890    +0.000000
0.002200    -3.709763    +0.039194    +0.000000    +0.190148    +0.000000
0.002400    -3.711715    +0.038452    +0.000000    +0.189406    +0.000000
0.002600    -3.713668    +0.037709    +0.000000    +0.188663    +0.000000
0.002800    -3.715620    +0.036966    +0.000000    +0.187920    +0.000000
0.003000    -3.717572    +0.036222    +0.000000    +0.187176    +0.000000
0.003200    -3.719525    +0.035479    +0.000000    +0.186433    +0.000000
0.003400    -3.721477    +0.034734    +0.000000    +0.185688    +0.000000
0.003600    -3.723430    +0.033990    +0.000000    +0.184944    +0.000000
0.003800    -3.725382    +0.033244    +0.000000    +0.184198    +0.000000
0.004000    -3.727334    +0.032499    +0.000000    +0.183453    +0.000000
0.004200    -3.729287    +0.031753    +0.000000    +0.182707    +0.000000
0.004400    -3.731239    +0.031007    +0.000000    +0.181961    +0.000000
0.004600    -3.733192    +0.030260    +0.000000    +0.181214    +0.000000
0.004800    -3.735144    +0.029513    +0.000000    +0.180467    +0.000000
0.005000    -3.737097    +0.028766    +0.000000    +0.179720    +0.000000
0.005200    -3.739049    +0.028018    +0.000000    +0.178972    +0.000000
0.005400    -3.741001    +0.027270    +0.000000    +0.178224    +0.000000
0.005600    -3.742954    +0.026521    +0.000000    +0.177475    +0.000000
0.005800    -3.744906    +0.025772    +0.000000    +0.176726    +0.000000
0.006000    -3.746859    +0.025023    +0.000000    +0.175977    +0.000000
0.006200    -3.748811    +0.024273    +0.000000    +0.175227    +0.000000
0.006400    -3.750763    +0.023523    +0.000000    +0.174477    +0.000000
0.006600    -3.752716    +0.022772    +0.000000    +0.173726    +0.000000
0.006800    -3.754668    +0.022021    +0.000000    +0.172975    +0.000000
0.007000    -3.756621    +0.021270    +0.000000    +0.172224    +0.000000
0.007200    -3.758573    +0.020518    +0.000000    +0.171472    +0.000000
0.007400    -3.760525    +0.019766    +0.000000    +0.170720    +0.000000
0.007600    -3.762478    +0.019014    +0.000000    +0.169968    +0.000000
0.007800    -3.764430    +0.018261    +0.000000    +0.169215    +0.000000
0.008000    -3.766383    +0.017508    +0.000000    +0.168462    +0.000000
0.008200    -3.768335    +0.016754    +0.000000    +0.167708    +0.000000
0.008400    -3.770288    +0.016000    +0.000000    +0.166954    +0.000000
0.008600    -3.772240    +0.015245    +0.000000    +0.166199    +0.000000
0.008800    -3.774192    +0.014491    +0.000000    +0.165445    +0.000000
0.009000    -3.776145    +0.013735    +0.000000    +0.164689    +0.000000
0.009200    -3.778097    +0.012980    +0.000000    +0.163934    +0.000000
0.009400    -3.780050    +0.012224    +0.000000    +0.163178    +0.000000
0.009600    -3.782002    +0.011467    +0.000000    +0.162421    +0.000000
0.009800    -3.783954    +0.010711    +0.000000    +0.161665    +0.000000
0.010000    -3.785907    +0.009953    +0.000000    +0.160907    +0.000000
0.010200    -3.787859    +0.009196    +0.000000    +0.160150    +0.000000
0.010400    -3.789812    +0.008438    +0.000000    +0.159392    +0.000000
0.010600    -3.791764    +0.007680    +0.000000    +0.158634    +0.000000
0.010800    -3.793716    +0.006921    +0.000000    +0.157875    +0.000000
0.011000    -3.795669    +0.006162    +0.000000    +0.157116    +0.000000
0.011200    -3.797621    +0.005402    +0.000000    +0.156356    +0.000000
0.011400    -3.799574    +0.004642    +0.000000    +0.155596    +0.000000
0.011600    -3.801526    +0.003882    +0.000000    +0.154836    +0.000000
0.011800    -3.803478    +0.003121    +0.000000    +0.154075    +0.000000
0.012000    -3.805431    +0.002360    +0.000000    +0.153314    +0.000000
0.012200    -3.807383    +0.001599    +0.000000    +0.152553    +0.000000
0.012400    -3.809336    +0.000837    +0.000000    +0.151791    +0.000000
0.012600    -3.811288    +0.000075    +0.000000    +0.151029    +0.000000
0.012800    -3.813241    -0.000688    +0.000000    +0.150266    +0.000000
0.013000    -3.815193    -0.001451    +0.000000    +0.149503    +0.000000
0.013200    -3.817145    -0.002215    +0.000000    +0.148739    +0.000000
0.013400    -3.819098    -0.002978    +0.000000    +0.147976    +0.000000
0.013600    -3.821050    -0.003743    +0.000000    +0.147211    +0.000000
0.013800    -3.823003    -0.004507    +0.000000    +0.146447    +0.000000
0.014000    -3.824955    -0.005272    +0.000000    +0.145682    +0.000000
0.014200    -3.826907    -0.006038    +0.000000    +0.144916    +0.000000
0.014400    -3.828859    -0.006803    +0.000000    +0.144151    +0.000000
0.014600    -3.830811    -0.007570    +0.000000    +0.143384    +0.000000
0.014800    -3.832763    -0.008336    +0.000000    +0.142618    +0.000000
0.015000    -3.834716    -0.009103    +0.000000    +0.141851    +0.000000
0.015200    -3.836668    -0.009870    +0.000000    +0.141084    +0.000000
0.015400    -3.838620    -0.010638    +0.000000    +0.140316    +0.000000
0.015600    -3.840572    -0.011406    +0.000000    +0.139548    +0.000000
0.015800    -3.842524    -0.012175    +0.000000    +0.138779    +0.000000
0.016000    -3.844476    -0.012944    +0.000000    +0.138010    +0.000000
0.016200    -3.846429    -0.013713    +0.000000    +0.137241    +0.000000
0.016400    -3.848381    -0.014483    +0.000000    +0.136471    +0.000000
0.016600    -3.850333    -0.015253    +0.000000    +0.135701    +0.000000
0.016800    -3.852285    -0.016023    +0.000000    +0.134931    +0.000000
0.017000    -3.445803    -0.016723    -0.000024    +0.134231    -0.000006
0.017200    -3.447756    -0.017413    -0.000052    +0.133541    -0.000013
0.017400    -3.046245    -0.018030    -0.000111    +0.132924    -0.000026
0.017600    -3.007470    -0.018638    -0.000174    +0.132316    -0.000041
0.017800    -2.830081    -0.019213    -0.000250    +0.131741    -0.000058
0.018000    -2.634301    -0.019742    -0.000346    +0.131212    -0.000080
0.018200    -2.467581    -0.020234    -0.000456    +0.130720    -0.000104
0.018400    -1.844426    -0.020607    -0.000569    +0.130347    -0.000134
0.018600    -1.757568    -0.020956    -0.000688    +0.129998    -0.000165
0.018800    -1.422023    -0.021244    -0.000800    +0.129710    -0.000200
0.019000    -1.398230    -0.021520    -0.000911    +0.129434    -0.000235
0.019200    -1.244985    -0.021770    -0.001017    +0.129184    -0.000271
0.019400    -1.240607    -0.022018    -0.001121    +0.128936    -0.000307
0.019600    -1.196504    -0.022260    -0.001223    +0.128694    -0.000340
0.019800    -1.030002    -0.022470    -0.001307    +0.128484    -0.000372
0.020000    -1.000139    -0.022669    -0.001388    +0.128285    -0.000402
0.020200    -0.937627    -0.022858    -0.001463    +0.128096    -0.000431
0.020400    -0.906032    -0.023039    -0.001536    +0.127916    -0.000457
0.020600    -0.844874    -0.023208    -0.001605    +0.127746    -0.000481
0.020800    -0.809535    -0.023370    -0.001671    +0.127584    -0.000504
0.021000    -0.768727    -0.023524    -0.001736    +0.127430    -0.000525
0.021200    -0.729385    -0.023670    -0.001799    +0.127284    -0.000547
0.021400    -0.701225    -0.023810    -0.001861    +0.127144    -0.000567
0.021600    -0.662208    -0.023942    -0.001920    +0.127012    -0.000585
0.021800    -0.642452    -0.024070    -0.001977    +0.126884    -0.000603
0.022000    -0.614946    -0.024194    -0.002033    +0.126760    -0.000619
0.022200    -0.570710    -0.024308    -0.002084    +0.126646    -0.000633
0.022400    -0.534191    -0.024417    -0.002131    +0.126537    -0.000646
0.022600    -0.503751    -0.024517    -0.002174    +0.126437    -0.000657
0.022800    -0.483935    -0.024613    -0.002214    +0.126341    -0.000667
0.023000    -0.473430    -0.024707    -0.002251    +0.126247    -0.000676
0.023200    -0.451839    -0.024798    -0.002287    +0.126156    -0.000684
0.023400    -0.451756    -0.024887    -0.002321    +0.126067    -0.000692
0.023600    -0.438773    -0.024975    -0.002355    +0.125979    -0.000699
0.023800    -0.437265    -0.025062    -0.002388    +0.125892    -0.000705
0.024000    -0.438293    -0.025150    -0.002421    +0.125804    -0.000711
0.024200    -0.420115    -0.025235    -0.002453    +0.125719    -0.000716
0.024400    -0.416973    -0.025317    -0.002483    +0.125637    -0.000721
0.024600    -0.411406    -0.025400    -0.002514    +0.125554    -0.000726
0.024800    -0.400461    -0.025480    -0.002543    +0.125474    -0.000729
0.025000    -0.388595    -0.025558    -0.002571    +0.125396    -0.000732
0.025200    -0.377646    -0.025634    -0.002597    +0.125320    -0.000734
0.025400    -0.367584    -0.025707    -0.002622    +0.125247    -0.000735
0.025600    -0.358962    -0.025779    -0.002646    +0.125175    -0.000735
0.025800    -0.349265    -0.025849    -0.002668    +0.125105    -0.000735
0.026000    -0.341323    -0.025917    -0.002689    +0.125037    -0.000734
0.026200    -0.329770    -0.025983    -0.002709    +0.124971    -0.000731
0.026400    -0.319843    -0.026047    -0.002728    +0.124907    -0.000728
0.026600    -0.310324    -0.026109    -0.002745    +0.124845    -0.000724
0.026800    -0.301062    -0.026169    -0.002762    +0.124785    -0.000719
0.027000    -0.291061    -0.026228    -0.002777    +0.124726    -0.000714
0.027200    -0.283161    -0.026284    -0.002791    +0.124670    -0.000708
0.027400    -0.274685    -0.026339    -0.002804    +0.124615    -0.000701
0.027600    -0.266713    -0.026392    -0.002816    +0.124562    -0.000694
0.027800    -0.259471    -0.026444    -0.002828    +0.124510    -0.000687
0.028000    -0.253074    -0.026495    -0.002839    +0.124459    -0.000679
0.028200    -0.246666    -0.026544    -0.002849    +0.124410    -0.000671
0.028400    -0.240421    -0.026592    -0.002859    +0.124362    -0.000662
0.028600    -0.234910    -0.026639    -0.002868    +0.124315    -0.000654
0.028800    -0.229523    -0.026685    -0.002876    +0.124269    -0.000644
0.029000    -0.224055    -0.026730    -0.002884    +0.124224    -0.000635
0.029200    -0.218930    -0.026774    -0.002891    +0.124180    -0.000626
0.029400    -0.215292    -0.026817    -0.002898    +0.124137    -0.000616
0.029600    -0.211154    -0.026859    -0.002904    +0.124095    -0.000606
0.029800    -0.207842    -0.026900    -0.002910    +0.124054    -0.000596
0.030000    -0.205073    -0.026941    -0.002915    +0.124013    -0.000586
0.030200    -0.202436    -0.026982    -0.002920    +0.123972    -0.000576
0.030400    -0.199786    -0.027022    -0.002925    +0.123932    -0.000566
0.030600    -0.196923    -0.027061    -0.002929    +0.123893    -0.000555
0.030800    -0.194202    -0.027100    -0.002933    +0.123854    -0.000545
0.031000    -0.191654    -0.027138    -0.002937    +0.123816    -0.000535
0.031200    -0.188795    -0.027176    -0.002941    +0.123778    -0.000525
0.031400    -0.186304    -0.027213    -0.002944    +0.123741    -0.000514
0.031600    -0.184151    -0.027250    -0.002947    +0.123704    -0.000504
0.031800    -0.181976    -0.027287    -0.002950    +0.123667    -0.000494
0.032000    -0.180069    -0.027323    -0.002952    +0.123631    -0.000484
0.032200    -0.178403    -0.027358    -0.002955    +0.123596    -0.000475
0.032400    -0.176922    -0.027394    -0.002957    +0.123560    -0.000465
0.032600    -0.175672    -0.027429    -0.002959    +0.123525    -0.000455
0.032800    -0.174560    -0.027464    -0.002961    +0.123490    -0.000446
0.033000    -0.173136    -0.027498    -0.002963    +0.123456    -0.000436
0.033200    -0.171007    -0.027532    -0.002964    +0.123422    -0.000427
0.033400    -0.168478    -0.027566    -0.002965    +0.123388    -0.000417
0.033600    -0.166280    -0.027599    -0.002966    +0.123355    -0.000408
0.033800    -0.163433    -0.027632    -0.002967    +0.123322    -0.000398
0.034000    -0.160931    -0.027664    -0.002967    +0.123290    -0.000389
0.034200    -0.158197    -0.027696    -0.002967    +0.123258    -0.000379
0.034400    -0.156026    -0.027727    -0.002966    +0.123227    -0.000369
0.034600    -0.154251    -0.027758    -0.002966    +0.123196    -0.000360
0.034800    -0.152303    -0.027788    -0.002965    +0.123166    -0.000350
0.035000    -0.150303    -0.027818    -0.002964    +0.123136    -0.000340
0.035200    -0.148379    -0.027848    -0.002962    +0.123106    -0.000331
0.035400    -0.146636    -0.027877    -0.002961    +0.123077    -0.000322
0.035600    -0.145010    -0.027906    -0.002959    +0.123048    -0.000312
0.035800    -0.143441    -0.027935    -0.002957    +0.123019    -0.000303
0.036000    -0.141775    -0.027963    -0.002954    +0.122991    -0.000294
0.036200    -0.140568    -0.027992    -0.002952    +0.122962    -0.000285
0.036400    -0.139379    -0.028019    -0.002949    +0.122935    -0.000276
0.036600    -0.138148    -0.028047    -0.002947    +0.122907    -0.000267
0.036800    -0.136893    -0.028074    -0.002944    +0.122880    -0.000258
