# This is the run log of SGP from Fri Jan 15 20:00:32 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two spheres with r = 100000 (cu) and rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 100 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 6.674e-011 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

100.000000    800000.000000    0.000000
200.000000    799991.250000    -0.087362
300.000000    799973.750000    -0.174725
400.000000    799947.562500    -0.262089
500.000000    799912.625000    -0.349458
600.000000    799868.937500    -0.436831
700.000000    799816.500000    -0.524213
800.000000    799755.312500    -0.611604
900.000000    799685.437500    -0.699007
1000.000000    799606.812500    -0.786422
1100.000000    799519.437500    -0.873854
1200.000000    799423.312500    -0.961302
1300.000000    799318.437500    -1.048770
1400.000000    799204.812500    -1.136258
1500.000000    799082.437500    -1.223770
1600.000000    798951.312500    -1.311306
1700.000000    798811.437500    -1.398869
1800.000000    798662.812500    -1.486461
1900.000000    798505.375000    -1.574084
2000.000000    798339.187500    -1.661739
2100.000000    798164.250000    -1.749429
2200.000000    797980.562500    -1.837155
2300.000000    797788.062500    -1.924920
2400.000000    797586.812500    -2.012725
2500.000000    797376.750000    -2.100573
2600.000000    797157.875000    -2.188464
2700.000000    796930.250000    -2.276403
2800.000000    796693.812500    -2.364389
2900.000000    796448.562500    -2.452426
3000.000000    796194.500000    -2.540515
3100.000000    795931.625000    -2.628658
3200.000000    795659.937500    -2.716858
3300.000000    795379.437500    -2.805116
3400.000000    795090.125000    -2.893434
3500.000000    794791.937500    -2.981814
3600.000000    794484.937500    -3.070259
3700.000000    794169.062500    -3.158770
3800.000000    793844.312500    -3.247350
3900.000000    793510.687500    -3.336000
4000.000000    793168.187500    -3.424722
4100.000000    792816.812500    -3.513519
4200.000000    792456.562500    -3.602393
4300.000000    792087.437500    -3.691346
4400.000000    791709.375000    -3.780380
4500.000000    791322.437500    -3.869496
4600.000000    790926.562500    -3.958698
4700.000000    790521.750000    -4.047987
4800.000000    790108.000000    -4.137365
4900.000000    789685.312500    -4.226835
5000.000000    789253.687500    -4.316399
5100.000000    788813.062500    -4.406059
5200.000000    788363.500000    -4.495816
5300.000000    787904.937500    -4.585674
5400.000000    787437.375000    -4.675635
5500.000000    786960.812500    -4.765700
5600.000000    786475.250000    -4.855872
5700.000000    785980.625000    -4.946154
5800.000000    785477.000000    -5.036547
5900.000000    784964.312500    -5.127053
6000.000000    784442.562500    -5.217676
6100.000000    783911.750000    -5.308417
6200.000000    783371.812500    -5.399280
6300.000000    782822.812500    -5.490265
6400.000000    782264.687500    -5.581376
6500.000000    781697.437500    -5.672614
6600.000000    781121.062500    -5.763983
6700.000000    780535.500000    -5.855484
6800.000000    779940.812500    -5.947120
6900.000000    779336.937500    -6.038894
7000.000000    778723.875000    -6.130808
7100.000000    778101.562500    -6.222865
7200.000000    777470.062500    -6.315066
7300.000000    776829.312500    -6.407415
7400.000000    776179.312500    -6.499914
7500.000000    775520.062500    -6.592566
7600.000000    774851.500000    -6.685373
7700.000000    774173.687500    -6.778337
7800.000000    773486.562500    -6.871463
7900.000000    772790.062500    -6.964751
8000.000000    772084.250000    -7.058206
8100.000000    771369.062500    -7.151828
8200.000000    770644.500000    -7.245622
8300.000000    769910.562500    -7.339590
8400.000000    769167.187500    -7.433735
8500.000000    768414.375000    -7.528059
8600.000000    767652.125000    -7.622566
8700.000000    766880.375000    -7.717258
8800.000000    766099.187500    -7.812139
8900.000000    765308.437500    -7.907210
9000.000000    764508.187500    -8.002475
9100.000000    763698.375000    -8.097937
9200.000000    762879.000000    -8.193599
9300.000000    762050.062500    -8.289464
9400.000000    761211.500000    -8.385535
9500.000000    760363.312500    -8.481815
9600.000000    759505.500000    -8.578308
9700.000000    758638.000000    -8.675016
9800.000000    757760.812500    -8.771943
9900.000000    756873.875000    -8.869091
10000.000000    755977.250000    -8.966464
10100.000000    755070.812500    -9.064066
10200.000000    754154.625000    -9.161900
10300.000000    753228.625000    -9.259968
10400.000000    752292.812500    -9.358274
10500.000000    751347.125000    -9.456823
10600.000000    750391.562500    -9.555617
10700.000000    749426.125000    -9.654660
10800.000000    748450.750000    -9.753956
10900.000000    747465.375000    -9.853507
11000.000000    746470.062500    -9.953318
11100.000000    745464.750000    -10.053392
11200.000000    744449.375000    -10.153734
11300.000000    743423.937500    -10.254347
11400.000000    742388.437500    -10.355234
11500.000000    741342.812500    -10.456400
11600.000000    740287.000000    -10.557848
11700.000000    739221.062500    -10.659582
11800.000000    738144.875000    -10.761606
11900.000000    737058.500000    -10.863925
12000.000000    735961.875000    -10.966542
12100.000000    734854.937500    -11.069463
12200.000000    733737.687500    -11.172690
12300.000000    732610.062500    -11.276229
12400.000000    731472.062500    -11.380083
12500.000000    730323.625000    -11.484257
12600.000000    729164.750000    -11.588755
12700.000000    727995.375000    -11.693582
12800.000000    726815.500000    -11.798742
12900.000000    725625.062500    -11.904242
13000.000000    724424.062500    -12.010083
13100.000000    723212.437500    -12.116272
13200.000000    721990.125000    -12.222814
13300.000000    720757.125000    -12.329713
13400.000000    719513.437500    -12.436974
13500.000000    718259.000000    -12.544602
13600.000000    716993.750000    -12.652603
13700.000000    715717.625000    -12.760982
13800.000000    714430.625000    -12.869742
13900.000000    713132.750000    -12.978891
14000.000000    711823.937500    -13.088434
14100.000000    710504.125000    -13.198377
14200.000000    709173.250000    -13.308723
14300.000000    707831.312500    -13.419480
14400.000000    706478.250000    -13.530654
14500.000000    705114.000000    -13.642249
14600.000000    703738.562500    -13.754272
14700.000000    702351.875000    -13.866730
14800.000000    700953.937500    -13.979627
14900.000000    699544.625000    -14.092970
15000.000000    698123.937500    -14.206765
15100.000000    696691.812500    -14.321020
15200.000000    695248.250000    -14.435740
15300.000000    693793.187500    -14.550933
15400.000000    692326.500000    -14.666604
15500.000000    690848.250000    -14.782761
15600.000000    689358.312500    -14.899410
15700.000000    687856.687500    -15.016560
15800.000000    686343.250000    -15.134215
15900.000000    684818.000000    -15.252386
16000.000000    683280.875000    -15.371078
16100.000000    681731.875000    -15.490300
16200.000000    680170.875000    -15.610059
16300.000000    678597.812500    -15.730362
16400.000000    677012.687500    -15.851218
16500.000000    675415.437500    -15.972635
16600.000000    673806.000000    -16.094622
16700.000000    672184.312500    -16.217186
16800.000000    670550.250000    -16.340336
16900.000000    668903.812500    -16.464081
17000.000000    667245.000000    -16.588430
17100.000000    665573.687500    -16.713392
17200.000000    663889.812500    -16.838976
17300.000000    662193.312500    -16.965191
17400.000000    660484.125000    -17.092047
17500.000000    658762.187500    -17.219555
17600.000000    657027.437500    -17.347723
17700.000000    655279.750000    -17.476563
17800.000000    653519.125000    -17.606083
17900.000000    651745.500000    -17.736296
18000.000000    649958.750000    -17.867210
18100.000000    648158.875000    -17.998838
18200.000000    646345.750000    -18.131191
18300.000000    644519.312500    -18.264280
18400.000000    642679.500000    -18.398117
18500.000000    640826.250000    -18.532713
18600.000000    638959.437500    -18.668081
18700.000000    637079.000000    -18.804234
