# This is the run log of SGP from Fri Jan 15 14:03:17 2016
# Experiment type: TEST_SCALING (3)
# Active force: point mass gravity
# Actors: two unit spheres with rho = 1000 (cu)
# Measured quantities: COM separation, COM relative velocity
# Time step used = 0.016 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [t]    [R]    [V]

0.016000    8.000000    0.000000
0.032000    7.999776    -0.013978
0.048000    7.999329    -0.027956
0.064000    7.998658    -0.041935
0.080000    7.997764    -0.055915
0.096000    7.996645    -0.069898
0.112000    7.995303    -0.083884
0.128000    7.993737    -0.097873
0.144000    7.991947    -0.111868
0.160000    7.989933    -0.125868
0.176000    7.987696    -0.139874
0.192000    7.985233    -0.153887
0.208000    7.982547    -0.167908
0.224000    7.979636    -0.181938
0.240000    7.976500    -0.195977
0.256000    7.973140    -0.210027
0.272000    7.969554    -0.224087
0.288000    7.965744    -0.238159
0.304000    7.961708    -0.252244
0.320000    7.957447    -0.266343
0.336000    7.952959    -0.280456
0.352000    7.948246    -0.294583
0.368000    7.943306    -0.308727
0.384000    7.938140    -0.322888
0.400000    7.932747    -0.337066
0.416000    7.927127    -0.351263
0.432000    7.921279    -0.365479
0.448000    7.915204    -0.379715
0.464000    7.908900    -0.393972
0.480000    7.902368    -0.408251
0.496000    7.895607    -0.422553
0.512000    7.888617    -0.436879
0.528000    7.881397    -0.451229
0.544000    7.873948    -0.465604
0.560000    7.866268    -0.480006
0.576000    7.858357    -0.494435
0.592000    7.850214    -0.508893
0.608000    7.841840    -0.523379
0.624000    7.833234    -0.537896
0.640000    7.824395    -0.552443
0.656000    7.815322    -0.567023
0.672000    7.806016    -0.581635
0.688000    7.796476    -0.596281
0.704000    7.786700    -0.610963
0.720000    7.776690    -0.625680
0.736000    7.766443    -0.640434
0.752000    7.755959    -0.655227
0.768000    7.745238    -0.670058
0.784000    7.734280    -0.684929
0.800000    7.723082    -0.699842
0.816000    7.711645    -0.714797
0.831999    7.699968    -0.729795
0.847999    7.688051    -0.744838
0.863999    7.675892    -0.759927
0.879999    7.663491    -0.775062
0.895999    7.650847    -0.790245
0.911999    7.637959    -0.805478
0.927999    7.624827    -0.820761
0.943999    7.611450    -0.836095
0.959999    7.597826    -0.851483
0.975999    7.583955    -0.866924
0.991999    7.569837    -0.882421
1.007999    7.555469    -0.897975
1.023999    7.540852    -0.913587
1.039999    7.525983    -0.929258
1.055999    7.510863    -0.944990
1.071999    7.495491    -0.960784
1.087999    7.479864    -0.976642
1.103999    7.463983    -0.992565
1.119999    7.447846    -1.008555
1.135999    7.431453    -1.024612
1.151999    7.414801    -1.040740
1.168000    7.397890    -1.056938
1.184000    7.380719    -1.073210
1.200000    7.363286    -1.089556
1.216000    7.345591    -1.105978
1.232000    7.327631    -1.122478
1.248000    7.309406    -1.139057
1.264000    7.290915    -1.155718
1.280000    7.272156    -1.172462
