# This is the run log of SGP
# Time step used = 0.5
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
0.500000    8.000000    0.000000
1.000000    7.997816    -0.004368
1.500000    7.993448    -0.008736
2.000000    7.986895    -0.013107
2.500000    7.978154    -0.017482
3.000000    7.967221    -0.021865
3.500000    7.954093    -0.026257
4.000000    7.938763    -0.030661
4.500000    7.921223    -0.035079
5.000000    7.901465    -0.039515
5.500000    7.879480    -0.043971
6.000000    7.855256    -0.048448
6.500000    7.828780    -0.052951
7.000000    7.800039    -0.057482
7.500000    7.769018    -0.062043
8.000000    7.735699    -0.066638
8.500000    7.700064    -0.071270
9.000000    7.662093    -0.075941
9.500000    7.621765    -0.080656
10.000000    7.579056    -0.085418
10.500000    7.533940    -0.090231
11.000000    7.486392    -0.095098
11.500000    7.436380    -0.100023
12.000000    7.383874    -0.105011
12.500000    7.328841    -0.110066
13.000000    7.271245    -0.115194
13.500000    7.211045    -0.120399
14.000000    7.148202    -0.125686
14.500000    7.082671    -0.131062
15.000000    7.014404    -0.136534
15.500000    6.943351    -0.142106
16.000000    6.869457    -0.147788
16.500000    6.792664    -0.153587
17.000000    6.712908    -0.159511
17.500000    6.630123    -0.165570
18.000000    6.544236    -0.171774
18.500000    6.455169    -0.178134
19.000000    6.362838    -0.184661
19.500000    6.267153    -0.191370
20.000000    6.168015    -0.198275
20.500000    6.065319    -0.205393
21.000000    5.958949    -0.212741
21.500000    5.848778    -0.220340
22.000000    5.734672    -0.228213
22.500000    5.616479    -0.236386
23.000000    5.494036    -0.244886
23.500000    5.367161    -0.253749
24.000000    5.235656    -0.263010
24.500000    5.099298    -0.272715
25.000000    4.957842    -0.282914
25.500000    4.811009    -0.293665
26.000000    4.658490    -0.305038
26.500000    4.499932    -0.317116
27.000000    4.334933    -0.329998
27.500000    4.163031    -0.343804
28.000000    3.983690    -0.358681
28.500000    3.796284    -0.374812
29.000000    3.600070    -0.392428
29.500000    3.394158    -0.411826
30.000000    3.177460    -0.433396
30.500000    2.948628    -0.457662
31.000000    2.705952    -0.485352
31.500000    2.447199    -0.517506
32.000000    2.169356    -0.555686
32.500000    1.868173    -0.602366
33.000000    2.132881    0.529416
33.500000    2.357538    0.449315
34.000000    2.551469    0.387862
34.500000    2.720251    0.337563
35.000000    2.867561    0.294620
35.500000    2.995981    0.256840
36.000000    3.107402    0.222843
36.500000    3.203251    0.191697
37.000000    3.284623    0.162745
37.500000    3.352373    0.135499
38.000000    3.407167    0.109587
38.500000    3.449523    0.084712
39.000000    3.479838    0.060630
39.500000    3.498406    0.037136
40.000000    3.505431    0.014050
40.500000    3.501034    -0.008792
41.000000    3.485263    -0.031543
41.500000    3.458088    -0.054351
42.000000    3.419405    -0.077365
42.500000    3.369034    -0.100743
43.000000    3.306708    -0.124653
43.500000    3.232066    -0.149283
44.000000    3.144641    -0.174850
44.500000    3.043836    -0.201612
45.000000    2.928895    -0.229882
45.500000    2.798867    -0.260056
