# This is the run log of SGP
# Time step used = 1
# Columns are (values in code units):
# [t]    [R]    [V]

0.000000    8.000000    0.000000
1.000000    8.000000    0.000000
2.000000    7.991264    -0.008736
3.000000    7.973792    -0.017472
4.000000    7.947564    -0.026228
5.000000    7.912542    -0.035022
6.000000    7.868669    -0.043874
7.000000    7.815865    -0.052804
8.000000    7.754030    -0.061834
9.000000    7.683043    -0.070987
10.000000    7.602757    -0.080286
11.000000    7.512998    -0.089758
12.000000    7.413567    -0.099431
13.000000    7.304230    -0.109337
14.000000    7.184721    -0.119510
15.000000    7.054731    -0.129990
16.000000    6.913910    -0.140821
17.000000    6.761855    -0.152055
18.000000    6.598103    -0.163752
19.000000    6.422122    -0.175980
20.000000    6.233299    -0.188823
21.000000    6.030919    -0.202380
22.000000    5.814149    -0.216770
23.000000    5.582006    -0.232142
24.000000    5.333324    -0.248682
25.000000    5.066698    -0.266627
26.000000    4.780415    -0.286283
27.000000    4.472352    -0.308063
28.000000    4.139822    -0.332530
29.000000    3.779339    -0.360483
30.000000    3.386232    -0.393107
31.000000    2.953980    -0.432252
32.000000    2.472967    -0.481013
33.000000    1.927879    -0.545088
34.000000    2.437090    0.509211
35.000000    2.795867    0.358777
36.000000    3.060507    0.264640
37.000000    3.253620    0.193113
38.000000    3.387040    0.133420
39.000000    3.467644    0.080604
40.000000    3.499510    0.031866
41.000000    3.484878    -0.014632
42.000000    3.424591    -0.060287
43.000000    3.318264    -0.106327
44.000000    3.164263    -0.154001
45.000000    2.959483    -0.204780
