# This is the run log of SGP from Tue Feb 09 16:52:15 2016
# Experiment type: MAKE_SGP (1)
# Rubble elements: number = 11;  rho = 1000
# Material: eps = 1;  mu = 0
# Time step used = 0.001 (cu)
# Code units: 1 cu = [10000 m | 1e+012 kg | 10000 s]
# Scaled G = 0.006674 (cu)
# Columns are (values in code units):
# [time]    [long axis]    [a/b axes ratio]    [a/c axes ratio]    [U]    [K]

0.001000     17.7819    1.140431    1.016183      -1.18e+009               0
0.002000     17.7818    1.140431    1.016183      -1.18e+009       2.93e+003
0.003000     17.7816    1.140430    1.016182      -1.18e+009       1.17e+004
0.004000     17.7813    1.140429    1.016181      -1.18e+009       2.64e+004
0.005000      17.781    1.140428    1.016180      -1.18e+009       4.69e+004
0.006000     17.7805    1.140427    1.016179      -1.18e+009       7.33e+004
0.007000       17.78    1.140425    1.016177      -1.18e+009       1.06e+005
0.008000     17.7794    1.140423    1.016175      -1.18e+009       1.44e+005
0.009000     17.7786    1.140421    1.016173      -1.18e+009       1.88e+005
0.010000     17.7778    1.140418    1.016170      -1.18e+009       2.37e+005
0.011000     17.7769    1.140415    1.016168      -1.18e+009       2.93e+005
0.012000      17.776    1.140412    1.016165      -1.18e+009       3.55e+005
0.013000     17.7749    1.140408    1.016161      -1.18e+009       4.22e+005
0.014000     17.7737    1.140404    1.016158      -1.18e+009       4.96e+005
0.015000     17.7725    1.140400    1.016154      -1.18e+009       5.75e+005
0.016000     17.7711    1.140395    1.016150      -1.18e+009        6.6e+005
0.017000     17.7697    1.140391    1.016145      -1.18e+009       7.51e+005
0.018000     17.7682    1.140386    1.016140      -1.18e+009       8.48e+005
0.019000     17.7666    1.140380    1.016135      -1.18e+009        9.5e+005
0.020000     17.7649    1.140375    1.016130      -1.18e+009       1.06e+006
0.021000     17.7631    1.140369    1.016125      -1.18e+009       1.17e+006
0.022000     17.7612    1.140363    1.016119      -1.18e+009       1.29e+006
0.023000     17.7592    1.140356    1.016112      -1.18e+009       1.42e+006
0.024000     17.7572    1.140349    1.016106      -1.18e+009       1.55e+006
0.025000      17.755    1.140342    1.016099      -1.18e+009       1.69e+006
0.026000     17.7528    1.140335    1.016093      -1.18e+009       1.84e+006
0.027000     17.7504    1.140327    1.016085      -1.18e+009       1.99e+006
0.028000      17.748    1.140319    1.016078      -1.18e+009       2.14e+006
0.029000     17.7455    1.140311    1.016070      -1.18e+009        2.3e+006
