# This is the run log of Verify
# Experiment type: SPRINGER (6)
# Time step used = 0.004
# Columns are (values in code units):
# [t]    [x]    [v]

0.004000    10.000000    0.000000
0.008000    9.999840    -0.040000
0.012000    9.999519    -0.080000
0.016000    9.999040    -0.119999
0.020000    9.998400    -0.159997
0.024000    9.997600    -0.199994
0.028000    9.996639    -0.239987
0.032000    9.995520    -0.279978
0.036000    9.994240    -0.319964
0.040000    9.992800    -0.359946
0.044000    9.991200    -0.399923
0.048000    9.989441    -0.439894
0.052000    9.987521    -0.479859
0.056000    9.985442    -0.519817
0.060000    9.983203    -0.559767
0.064000    9.980804    -0.599709
0.068000    9.978246    -0.639642
0.072000    9.975528    -0.679565
0.076000    9.972650    -0.719478
0.080000    9.969612    -0.759380
0.084000    9.966415    -0.799271
0.088000    9.963058    -0.839149
0.092000    9.959542    -0.879015
0.096000    9.955867    -0.918867
0.100000    9.952032    -0.958705
0.104000    9.948038    -0.998529
0.108000    9.943885    -1.038337
0.112000    9.939572    -1.078129
0.116000    9.935101    -1.117904
0.120000    9.930470    -1.157663
0.124000    9.925680    -1.197403
0.128000    9.920732    -1.237125
0.132000    9.915625    -1.276828
0.136000    9.910358    -1.316511
0.140000    9.904934    -1.356173
0.144000    9.899351    -1.395815
0.148000    9.893609    -1.435434
0.152000    9.887709    -1.475032
0.156000    9.881650    -1.514606
0.160000    9.875433    -1.554157
0.164000    9.869059    -1.593683
0.168000    9.862526    -1.633185
0.172000    9.855835    -1.672661
0.176000    9.848987    -1.712111
0.180000    9.841981    -1.751535
0.184000    9.834817    -1.790931
0.188000    9.827496    -1.830299
0.192000    9.820017    -1.869638
0.196000    9.812381    -1.908948
0.200000    9.804588    -1.948228
0.204000    9.796638    -1.987478
0.208000    9.788531    -2.026696
0.212000    9.780268    -2.065882
0.216000    9.771848    -2.105036
0.220000    9.763271    -2.144158
0.224000    9.754539    -2.183245
0.228000    9.745649    -2.222298
0.232000    9.736604    -2.261316
0.236000    9.727403    -2.300299
0.240000    9.718045    -2.339245
0.244000    9.708532    -2.378155
0.248000    9.698864    -2.417027
0.252000    9.689040    -2.455861
0.256000    9.679062    -2.494657
0.260000    9.668928    -2.533413
0.264000    9.658640    -2.572129
0.268000    9.648196    -2.610805
0.272000    9.637598    -2.649440
0.276000    9.626846    -2.688032
0.280000    9.615940    -2.726583
0.284000    9.604879    -2.765090
0.288000    9.593665    -2.803554
0.292000    9.582297    -2.841974
0.296000    9.570776    -2.880348
0.300000    9.559101    -2.918677
0.304000    9.547274    -2.956960
0.308000    9.535293    -2.995197
0.312000    9.523159    -3.033386
0.316000    9.510873    -3.071527
0.320000    9.498434    -3.109620
0.324000    9.485844    -3.147663
0.328000    9.473101    -3.185657
0.332000    9.460206    -3.223600
0.336000    9.447160    -3.261493
0.340000    9.433963    -3.299334
0.344000    9.420614    -3.337122
0.348000    9.407115    -3.374858
0.352000    9.393465    -3.412541
0.356000    9.379664    -3.450169
0.360000    9.365713    -3.487743
0.364000    9.351612    -3.525262
0.368000    9.337361    -3.562725
0.372000    9.322961    -3.600131
0.376000    9.308411    -3.637480
0.380000    9.293712    -3.674772
0.384000    9.278864    -3.712006
0.388000    9.263867    -3.749181
0.392000    9.248722    -3.786296
0.396000    9.233429    -3.823352
0.400000    9.217988    -3.860347
0.404000    9.202399    -3.897280
0.408000    9.186663    -3.934152
0.412000    9.170779    -3.970962
0.416000    9.154748    -4.007709
0.420000    9.138571    -4.044392
0.424000    9.122247    -4.081011
0.428000    9.105777    -4.117565
0.432000    9.089161    -4.154054
0.436000    9.072399    -4.190477
0.440000    9.055491    -4.226834
0.444000    9.038439    -4.263124
0.448000    9.021241    -4.299345
0.452000    9.003900    -4.335499
0.456000    8.986413    -4.371584
0.460000    8.968782    -4.407600
0.464000    8.951008    -4.443545
0.468000    8.933090    -4.479421
0.472000    8.915030    -4.515224
0.476000    8.896826    -4.550957
0.480000    8.878479    -4.586617
0.484000    8.859990    -4.622204
0.488000    8.841359    -4.657718
0.492000    8.822586    -4.693158
0.496000    8.803672    -4.728524
0.500000    8.784616    -4.763814
0.504000    8.765420    -4.799029
0.508000    8.746083    -4.834167
0.512000    8.726606    -4.869229
0.516000    8.706989    -4.904213
0.520000    8.687233    -4.939120
0.524000    8.667337    -4.973948
0.528000    8.647303    -5.008697
0.532000    8.627130    -5.043366
0.536000    8.606818    -5.077956
0.540000    8.586369    -5.112464
0.544000    8.565781    -5.146892
0.548000    8.545055    -5.181237
0.552000    8.524194    -5.215500
0.556000    8.503195    -5.249681
0.560000    8.482059    -5.283777
0.564000    8.460789    -5.317790
0.568000    8.439382    -5.351718
0.572000    8.417839    -5.385561
0.576000    8.396162    -5.419319
0.580000    8.374350    -5.452991
0.584000    8.352404    -5.486575
0.588000    8.330323    -5.520072
0.592000    8.308109    -5.553482
0.596000    8.285762    -5.586803
0.600001    8.263282    -5.620036
0.604001    8.240669    -5.653179
0.608001    8.217924    -5.686232
0.612001    8.195047    -5.719194
0.616001    8.172039    -5.752066
0.620001    8.148900    -5.784846
0.624001    8.125629    -5.817534
0.628001    8.102229    -5.850130
0.632001    8.078698    -5.882633
0.636001    8.055038    -5.915041
0.640001    8.031249    -5.947356
0.644001    8.007331    -5.979577
0.648001    7.983284    -6.011702
0.652001    7.959109    -6.043731
0.656001    7.934807    -6.075664
0.660001    7.910377    -6.107501
0.664001    7.885820    -6.139240
0.668001    7.861136    -6.170881
0.672001    7.836327    -6.202425
0.676001    7.811391    -6.233869
0.680001    7.786331    -6.265214
0.684001    7.761145    -6.296460
0.688001    7.735834    -6.327605
